speaker_id,audio_file,emotion_id,language,emotion,text
1,neutral_hi_1.wav,0,hi,neutral,"यह प्रक्रिया स्वचालित रूप से पूरी होती है।"
1,neutral_en_1.wav,0,en,neutral,"This process completes automatically."
1,neutral_hi_2.wav,0,hi,neutral,"सिस्टम सुचारू रूप से कार्य कर रहा है।"
1,neutral_en_2.wav,0,en,neutral,"The system is running smoothly."
1,neutral_hi_3.wav,0,hi,neutral,"डेटा को सफलतापूर्वक सहेजा गया है।"
1,neutral_en_3.wav,0,en,neutral,"The data has been saved successfully."
1,neutral_hi_4.wav,0,hi,neutral,"आवश्यक अपडेट लागू कर दिए गए हैं।"
1,neutral_en_4.wav,0,en,neutral,"Required updates have been applied."
1,neutral_hi_5.wav,0,hi,neutral,"कृपया निर्देशों का पालन करें।"
1,neutral_en_5.wav,0,en,neutral,"Please follow the given instructions."
1,neutral_hi_6.wav,0,hi,neutral,"यह प्रणाली सामान्य रूप से चल रही है।"
1,neutral_en_6.wav,0,en,neutral,"The system is operating under normal conditions."
1,neutral_hi_7.wav,0,hi,neutral,"सभी संचालन नियमित हैं।"
1,neutral_en_7.wav,0,en,neutral,"All operations are standard."
1,neutral_hi_8.wav,0,hi,neutral,"सब कुछ सामान्य है।"
1,neutral_en_8.wav,0,en,neutral,"Everything is functioning normally."
1,happy_hi_1.wav,1,hi,happy,"यह शानदार प्रदर्शन है!"
1,happy_en_1.wav,1,en,happy,"This is an outstanding performance!"
1,happy_hi_2.wav,1,hi,happy,"हमें गर्व है कि हमने इसे पूरा किया!"
1,happy_en_2.wav,1,en,happy,"We are proud that we completed it!"
1,happy_hi_3.wav,1,hi,happy,"यह मेरी उम्मीदों से भी बेहतर है!"
1,happy_en_3.wav,1,en,happy,"This is even better than I expected!"
1,happy_hi_4.wav,1,hi,happy,"बहुत बढ़िया! हमें सफलता मिली!"
1,happy_en_4.wav,1,en,happy,"Fantastic! We have achieved success!"
1,happy_hi_5.wav,1,hi,happy,"यह तो कमाल की खबर है!"
1,happy_en_5.wav,1,en,happy,"This is amazing news!"
1,happy_hi_6.wav,1,hi,happy,"इस खुशी का पल अद्वितीय है!"
1,happy_en_6.wav,1,en,happy,"This moment of joy is unparalleled!"
1,happy_hi_7.wav,1,hi,happy,"यह परिणाम बेहद प्रशंसनीय है!"
1,happy_en_7.wav,1,en,happy,"The outcome is highly commendable!"
1,happy_hi_8.wav,1,hi,happy,"आज का दिन आनंदमय है!"
1,happy_en_8.wav,1,en,happy,"Today is a day filled with delight!"
1,sad_hi_1.wav,2,hi,sad,"यह खबर सुनकर दिल टूट गया।"
1,sad_en_1.wav,2,en,sad,"This news has shattered my heart."
1,sad_hi_2.wav,2,hi,sad,"मैं इस स्थिति से दुखी हूँ।"
1,sad_en_2.wav,2,en,sad,"I feel deeply saddened by this situation."
1,sad_hi_3.wav,2,hi,sad,"सब कुछ उम्मीद के अनुसार नहीं हुआ।"
1,sad_en_3.wav,2,en,sad,"Not everything went as expected."
1,sad_hi_4.wav,2,hi,sad,"यह निर्णय वाकई कठिन है।"
1,sad_en_4.wav,2,en,sad,"This decision is truly difficult."
1,sad_hi_5.wav,2,hi,sad,"मुझे इससे गहरा दुःख हुआ है।"
1,sad_en_5.wav,2,en,sad,"I am profoundly saddened by this."
1,sad_hi_6.wav,2,hi,sad,"यह पल बहुत उदास है।"
1,sad_en_6.wav,2,en,sad,"This moment is very dismal."
1,sad_hi_7.wav,2,hi,sad,"मुझे यह अस्वीकार्य लगता है।"
1,sad_en_7.wav,2,en,sad,"I find this unacceptable."
1,sad_hi_8.wav,2,hi,sad,"इस नुकसान को शब्दों में बयां नहीं किया जा सकता।"
1,sad_en_8.wav,2,en,sad,"The loss is beyond words."
1,angry_hi_1.wav,3,hi,angry,"यह पूरी तरह अस्वीकार्य है!"
1,angry_en_1.wav,3,en,angry,"This is completely unacceptable!"
1,angry_hi_2.wav,3,hi,angry,"यह गंभीर लापरवाही का मामला है!"
1,angry_en_2.wav,3,en,angry,"This is a case of serious negligence!"
1,angry_hi_3.wav,3,hi,angry,"हम इस तरह के व्यवहार को बर्दाश्त नहीं करेंगे!"
1,angry_en_3.wav,3,en,angry,"We will not tolerate this behavior!"
1,angry_hi_4.wav,3,hi,angry,"यह अनुचित और अन्यायपूर्ण है!"
1,angry_en_4.wav,3,en,angry,"This is unfair and unjust!"
1,angry_hi_5.wav,3,hi,angry,"मुझे इस पर बहुत गुस्सा आ रहा है!"
1,angry_en_5.wav,3,en,angry,"I am extremely angry about this!"
1,angry_hi_6.wav,3,hi,angry,"यह बिल्कुल गलत है!"
1,angry_en_6.wav,3,en,angry,"This is absolutely wrong!"
1,angry_hi_7.wav,3,hi,angry,"मैं इस पर नाराज हूँ!"
1,angry_en_7.wav,3,en,angry,"I am upset about this!"
1,angry_hi_8.wav,3,hi,angry,"इसे तुरंत सुधारना होगा!"
1,angry_en_8.wav,3,en,angry,"This must be corrected immediately!"
1,surprised_hi_1.wav,4,hi,surprised,"क्या! यह अप्रत्याशित था!"
1,surprised_en_1.wav,4,en,surprised,"What! That was unexpected!"
1,surprised_hi_2.wav,4,hi,surprised,"मैंने ऐसा परिणाम कभी नहीं सोचा था!"
1,surprised_en_2.wav,4,en,surprised,"I never imagined such an outcome!"
1,surprised_hi_3.wav,4,hi,surprised,"यह तो चौंकाने वाला है!"
1,surprised_en_3.wav,4,en,surprised,"This is truly shocking!"
1,surprised_hi_4.wav,4,hi,surprised,"वाह! यह तो अविश्वसनीय है!"
1,surprised_en_4.wav,4,en,surprised,"Wow! This is unbelievable!"
1,surprised_hi_5.wav,4,hi,surprised,"मैं पूरी तरह हैरान हूँ!"
1,surprised_en_5.wav,4,en,surprised,"I am completely astonished!"
1,surprised_hi_6.wav,4,hi,surprised,"यह मेरे लिए एक बड़ा आश्चर्य है!"
1,surprised_en_6.wav,4,en,surprised,"This is a huge surprise for me!"
1,surprised_hi_7.wav,4,hi,surprised,"यह परिणाम सचमुच चौंकाने वाला है!"
1,surprised_en_7.wav,4,en,surprised,"This result is absolutely startling!"
1,surprised_hi_8.wav,4,hi,surprised,"मैं आश्चर्यचकित रह गया हूँ!"
1,surprised_en_8.wav,4,en,surprised,"I am taken aback!"
1,confused_hi_1.wav,5,hi,confused,"मुझे यह पूरी तरह समझ नहीं आया।"
1,confused_en_1.wav,5,en,confused,"I don’t fully understand this."
1,confused_hi_2.wav,5,hi,confused,"मैं उलझन में हूँ, कृपया स्पष्ट करें।"
1,confused_en_2.wav,5,en,confused,"I’m confused, please clarify."
1,confused_hi_3.wav,5,hi,confused,"यह पहले जैसा नहीं लग रहा है।"
1,confused_en_3.wav,5,en,confused,"This doesn’t seem the same as before."
1,confused_hi_4.wav,5,hi,confused,"मुझे नहीं पता कि आगे क्या करना है।"
1,confused_en_4.wav,5,en,confused,"I have no idea what to do next."
1,confused_hi_5.wav,5,hi,confused,"यह बहुत जटिल प्रतीत होता है।"
1,confused_en_5.wav,5,en,confused,"This appears very complex."
1,confused_hi_6.wav,5,hi,confused,"मुझे दिशा-निर्देशों की आवश्यकता है।"
1,confused_en_6.wav,5,en,confused,"I need clear instructions."
1,confused_hi_7.wav,5,hi,confused,"यह स्थिति भ्रमित कर देने वाली है।"
1,confused_en_7.wav,5,en,confused,"This situation is perplexing."
1,confused_hi_8.wav,5,hi,confused,"मैं निश्चित नहीं हूँ कि इसका मतलब क्या है।"
1,confused_en_8.wav,5,en,confused,"I am not sure what it means."
